"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03077";"BONFIM";"03077";"BONFIM";"3";"11";"Prefeito";"230000000926";"28";"JONER CHAGAS";"JONER CHAGAS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"230000000084";"FAZER MAIS POR BONFIM";"PP / PRTB / PHS / PR / SD / PSL / PSDC / PT / PC do B / PT do B / PDT";"1";"ELEITO";"N";"2726"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03077";"BONFIM";"03077";"BONFIM";"3";"13";"Vereador";"230000002250";"23567";"EDILTON FARIAS LAGES";"EDILTON LAGES DO TABOCA";"#NULO#";"3";"INAPTO";"14";"INDEFERIDO";"Coligação";"23";"PPS";"Partido Popular Socialista";"230000000221";"BONFIM NO RUMO CERTO";"PPS / PSDB / PEN / PTC / PSD";"4";"NÃO ELEITO";"N";"0"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03034";"CARACARAÍ";"03034";"CARACARAÍ";"2";"13";"Vereador";"230000000841";"20188";"GIVANILDO PEREIRA MORAES";"GIVANILDO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"20";"PSC";"Partido Social Cristão";"230000000061";"CARACARAI DE NOVO COM A FORÇA DO POVO";"PSC / PMN / PV";"5";"SUPLENTE";"N";"48"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03034";"CARACARAÍ";"03034";"CARACARAÍ";"2";"13";"Vereador";"230000000833";"20444";"RAQUEL FEITOSA GOMES DA COSTA";"RAQUEL GOMES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"20";"PSC";"Partido Social Cristão";"230000000061";"CARACARAI DE NOVO COM A FORÇA DO POVO";"PSC / PMN / PV";"5";"SUPLENTE";"N";"16"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03034";"CARACARAÍ";"03034";"CARACARAÍ";"2";"13";"Vereador";"230000000954";"19123";"THIAGO REIS VILAÇA";"THIAGO DO REMEDIO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"19";"PTN";"Partido Trabalhista Nacional";"230000000086";"CARACARAÍ UNIDOS";"PTC / PTN / PMB";"5";"SUPLENTE";"N";"69"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03034";"CARACARAÍ";"03034";"CARACARAÍ";"2";"13";"Vereador";"230000000870";"44112";"MANOEL PARENTE FARIAS";"MANOEL";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"44";"PRP";"Partido Republicano Progressista";"230000000063";"CARACARAÍ GRITA PROS, SD, PT DO B, PSDB E PRP";"PRP / PROS / PSDB / PT do B / SD";"5";"SUPLENTE";"N";"17"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03034";"CARACARAÍ";"03034";"CARACARAÍ";"2";"13";"Vereador";"230000002545";"13333";"JOICE DE SALES ALVES";"JOICE ALVES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"13";"PT";"Partido dos Trabalhadores";"230000000249";"POR UMA CIDADE MELHOR JUNTO COM VOCÊ";"PC do B / PDT / PT";"5";"SUPLENTE";"N";"5"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03034";"CARACARAÍ";"03034";"CARACARAÍ";"2";"13";"Vereador";"230000002551";"13190";"ERINALDO VIANA DA SILVA";"NALDO EVENTOS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"13";"PT";"Partido dos Trabalhadores";"230000000249";"POR UMA CIDADE MELHOR JUNTO COM VOCÊ";"PC do B / PDT / PT";"5";"SUPLENTE";"N";"37"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03034";"CARACARAÍ";"03034";"CARACARAÍ";"2";"13";"Vereador";"230000000930";"23123";"MARIVALSO GUEDES DE ANDRADE";"VALSSO GUEDES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"23";"PPS";"Partido Popular Socialista";"230000000085";"PARTIDO ISOLADO";"PPS";"4";"NÃO ELEITO";"N";"12"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03034";"CARACARAÍ";"03034";"CARACARAÍ";"2";"13";"Vereador";"230000002447";"27123";"VALDEMAR FERREIRA LIMA NETO";"PÉ NO CHÃO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"27";"PSDC";"Partido Social Democrata Cristão";"230000000238";"UNIDOS POR CARACARAÍ";"PSDC / PHS / PSD";"4";"NÃO ELEITO";"N";"313"
