SQ_CANDIDATO;NM_MUNICIPIO;CD_MUNICIPIO;NR_ZONA;DS_SIT_TOT_TURNO;NM_CANDIDATO;SG_PARTIDO;QT_VOTOS_NOMINAIS
230000001327;CANTÁ;03069;3;NÃO ELEITO;NEURIVAN ARAÚJO BORGES;PT do B;0
230000002133;CANTÁ;03069;3;NÃO ELEITO;JOSE NILTON BATISTA DE ARAUJO;PRTB;125
230000001481;CANTÁ;03069;3;ELEITO POR QP;ROBERLANDIO RODRIGUES MESSIAS;PV;287
230000001653;RORAINÓPOLIS;03085;8;SUPLENTE;LEANDRO FIGUEIREDO;PSDB;94
230000001629;RORAINÓPOLIS;03085;8;SUPLENTE;MONIQUE OLIVEIRA DE SOUZA;PDT;7
230000001634;RORAINÓPOLIS;03085;8;SUPLENTE;ABIMAEL DA COSTA;PDT;67
230000001375;RORAINÓPOLIS;03085;8;SUPLENTE;LUCIENE DA SILVA AGUIAR;PV;15
230000001442;RORAINÓPOLIS;03085;8;SUPLENTE;GRACIETE GOMES DOS SANTOS;PSD;1
230000001081;NORMANDIA;03115;3;SUPLENTE;CLEUDEMAR RIBEIRO PINHO;PSD;0
230000002036;SÃO JOÃO DA BALIZA;03131;4;SUPLENTE;ANA ELLEM DE AZEVEDO COSTA;DEM;10
230000002039;SÃO JOÃO DA BALIZA;03131;4;SUPLENTE;MAURICIO LIMA DOS SANTOS;DEM;78
230000001548;SÃO JOÃO DA BALIZA;03131;4;NÃO ELEITO;VAGNER MACCAGNAM;PRTB;49
230000001164;IRACEMA;03026;6;SUPLENTE;JOAO BOSCO DE MELO FERREIRA;PMB;55
230000001161;IRACEMA;03026;6;SUPLENTE;NAXIMENES TEIXEIRA SARMENTO;PRB;82
230000001532;IRACEMA;03026;6;ELEITO POR QP;EDSON DA SILVA PEREIRA;PEN;260
230000002188;AMAJARI;03042;7;SUPLENTE;FRANCISCO LEITE PEREIRA NETO;PRB;156
230000002181;AMAJARI;03042;7;SUPLENTE;ANGELA MARIA SILVA DA COSTA;PSC;11
230000001505;AMAJARI;03042;7;SUPLENTE;ANDERSON BARBOSA DE SOUZA;PTN;18
230000002497;AMAJARI;03042;7;NÃO ELEITO;FRANCINETO DA SILVA BRANDÃO;PR;0
230000001697;CANTÁ;03069;3;SUPLENTE;JOÃO KENNEDY DA COSTA;PPS;121
230000001487;CANTÁ;03069;3;SUPLENTE;DALCIRENE DA SILVA BEZERRA;PSDB;183
230000001486;CANTÁ;03069;3;SUPLENTE;EDIVALDO PEDROSA CARVALHO;PSDB;40
230000001880;CANTÁ;03069;3;SUPLENTE;SUELY SANTOS MORAIS;PEN;161
230000002444;CANTÁ;03069;3;NÃO ELEITO;LEONARDO PANTALEÃO SOUSA FILHO;PRP;13
230000001627;RORAINÓPOLIS;03085;8;SUPLENTE;DORALENE DE LIMA CORDEIRO;PP;13
230000001384;RORAINÓPOLIS;03085;8;SUPLENTE;PEDRO RUFINO DE SOUZA FILHO;PPS;6
230000001647;RORAINÓPOLIS;03085;8;ELEITO POR QP;LEOCÁDIO RODRIGUES PEREIRA;PRB;479
230000001067;NORMANDIA;03115;3;ELEITO POR QP;RAIMUNDO BARROS FILHO;PSDB;358
230000002233;ALTO ALEGRE;03050;3;SUPLENTE;ROBISON BENTO JULIÃO;PTC;52
230000001307;ALTO ALEGRE;03050;3;NÃO ELEITO;PEDRO ALVES VIEIRA;PRP;0
230000001316;ALTO ALEGRE;03050;3;NÃO ELEITO;GILMAR GOMES PEREIRA;PC do B;0
230000001749;BOA VISTA;03018;5;SUPLENTE;EDIVAN DA SILVA;PTC;395
230000001740;BOA VISTA;03018;1;SUPLENTE;ADRIANE CRUZ SILVA;PTC;6
230000001728;BOA VISTA;03018;5;SUPLENTE;GIDEONE DA SILVA LIMA;PTC;179
230000001746;BOA VISTA;03018;5;SUPLENTE;JOCICLEI SOUSA LIMA;PTC;238
230000002091;BOA VISTA;03018;1;SUPLENTE;VANDERSON ANTONIO PORTO CAMPOS;PSD;6
230000002093;BOA VISTA;03018;1;SUPLENTE;ALEX REIS COELHO;PSD;325
230000002110;BOA VISTA;03018;5;SUPLENTE;NELSON BARBOSA DE MENEZES;PPL;22
230000002107;BOA VISTA;03018;5;SUPLENTE;ABREU ALMEIDA SILVA;PSD;233
230000002096;BOA VISTA;03018;1;SUPLENTE;CLAUDOMIRO DA SILVA REGO;PSD;30
230000002111;BOA VISTA;03018;1;SUPLENTE;TERESINHA DE SOUZA SILVA;PSD;0
230000001960;BOA VISTA;03018;1;SUPLENTE;MARIA DARLENE DA SILVA VASCONCELOS;PRB;1
230000001569;BOA VISTA;03018;1;SUPLENTE;ALINE BARROS TAVARES;PSC;52
230000001569;BOA VISTA;03018;5;SUPLENTE;ALINE BARROS TAVARES;PSC;34
230000001574;BOA VISTA;03018;5;SUPLENTE;KATIA GARDENIA CONCEIÇÃO ARAUJO;PSC;161
230000002160;BOA VISTA;03018;5;SUPLENTE;JUNIO SILVA BEZERRA;PTN;28
230000002159;BOA VISTA;03018;1;SUPLENTE;RAIMUNDO JOSÉ GOMES SOBRINHO;PTN;61
230000002073;BOA VISTA;03018;1;SUPLENTE;JANICE RIBEIRO COELHO;SD;158
230000001760;BOA VISTA;03018;5;SUPLENTE;EDSON LOURENÇO DOS SANTOS;PDT;201
230000001783;BOA VISTA;03018;1;SUPLENTE;ANDRE BARRETO DE SOUZA;PHS;5
230000001772;BOA VISTA;03018;1;SUPLENTE;FRANCINALDO DE SOUSA SOARES;PDT;60
230000002351;BOA VISTA;03018;5;SUPLENTE;FRANCISCO GOMES DA SILVA;PR;157
230000002334;BOA VISTA;03018;5;SUPLENTE;JOSEFA MATOS DE FREITAS;PPS;115
230000002337;BOA VISTA;03018;5;SUPLENTE;MÁRCIO MAGALHÃES HORÁCIO;PPS;133
230000002436;BOA VISTA;03018;1;NÃO ELEITO;ANTONIO CLODOALDO BARBOSA;PRP;7
230000002427;BOA VISTA;03018;1;NÃO ELEITO;LEONARDO RODRIGUES MOREIRA;PRP;293
230000002964;BOA VISTA;03018;5;NÃO ELEITO;ALAINE DA SILVA ANASTACIO;PRP;4
230000002416;BOA VISTA;03018;5;NÃO ELEITO;ANTONIO FRANCISCO DO NASCIMENTO;PRP;142
230000001931;BOA VISTA;03018;5;NÃO ELEITO;ROBERT DAGON DA SILVA;PSOL;312
230000001927;BOA VISTA;03018;1;NÃO ELEITO;ANGELA MARIA CAVALCANTE SOUTO;PSOL;46
230000002306;BOA VISTA;03018;5;NÃO ELEITO;ÁLIDA ALDENIR FIGUEIRA NUNES;PV;259
230000002316;BOA VISTA;03018;1;NÃO ELEITO;ANA CARLA SÁ DE SOUZA;PV;0
230000002588;BOA VISTA;03018;5;ELEITO POR QP;WESLEY CARLOS THOMÉ;PC do B;849
230000001959;BOA VISTA;03018;1;ELEITO POR QP;MANOEL NEVES DE MACEDO;PRB;746
230000002886;BOA VISTA;03018;1;NÃO ELEITO;JOAO MARIA MARIO CESAR BALDUINO;PSDB;0
230000001753;BOA VISTA;03018;5;SUPLENTE;MARINALVA MAIA BARROSO;PTC;7
230000002589;BOA VISTA;03018;5;SUPLENTE;CARLA CRISTINA ROCHA;PT;814
230000002084;BOA VISTA;03018;1;SUPLENTE;FRANCISCO EDGLEI ALEXANDRE CESARIO;PSD;391
230000002102;BOA VISTA;03018;1;SUPLENTE;WERBET NOIA LOPES;PSD;108
230000002114;BOA VISTA;03018;1;SUPLENTE;JADER  CORREIA NUNES;PSD;2
230000001953;BOA VISTA;03018;1;SUPLENTE;RAIMUNDO ESMERALDO DA COSTA;PP;4
230000001943;BOA VISTA;03018;1;SUPLENTE;ELIZABETE  DA SILVA FERREIRA;PP;50
230000001952;BOA VISTA;03018;1;SUPLENTE;DANIEL MOREIRA DA SILVA;PP;50
230000001575;BOA VISTA;03018;1;SUPLENTE;JULIO CESAR RODRIGUES DOS SANTOS;PSC;118
230000001157;IRACEMA;03026;6;SUPLENTE;JAILSON BARBOSA DA SILVA;PMDB;139
230000002482;AMAJARI;03042;7;SUPLENTE;ANTÔNIO CABRAL COÊLHO DE MACÊDO;PPS;109
230000002191;AMAJARI;03042;7;SUPLENTE;MARIA ORIETA RODRIGUES OLIVEIRA;PT do B;21
230000001473;CANTÁ;03069;3;SUPLENTE;TATIANE RIBEIRO DE OLIVEIRA;PSDB;29
230000001878;CANTÁ;03069;3;SUPLENTE;CLEBEANE NARA FREITAS SERRÃO;PEN;25
230000001279;CANTÁ;03069;3;SUPLENTE;JANEUDO RUFINO DE ANDRADE;PROS;207
230000001652;RORAINÓPOLIS;03085;8;SUPLENTE;ROSIVALDO DOS SANTOS MIRANDA;PSDB;375
230000001643;RORAINÓPOLIS;03085;8;SUPLENTE;FRANCISCO SOUZA DUARTE FILHO;PR;312
230000001377;RORAINÓPOLIS;03085;8;SUPLENTE;MARIA SINDERLANEDA SILVA;PPS;1
230000001105;RORAINÓPOLIS;03085;8;SUPLENTE;IVO BARBOSA SENA;PTN;15
230000001036;SÃO JOÃO DA BALIZA;03131;4;SUPLENTE;GRACIETE LOPES DA SILVA;PPS;3
230000001026;SÃO JOÃO DA BALIZA;03131;4;SUPLENTE;ISMAEL SILVEIRA CHAVES;PMDB;101
230000002042;SÃO JOÃO DA BALIZA;03131;4;SUPLENTE;CLEITON CORDEIRO DA SILVA;DEM;16
230000001973;SÃO JOÃO DA BALIZA;03131;4;SUPLENTE;ALLISSON GUIMARÃES DA SILVA;PROS;4
230000001978;SÃO JOÃO DA BALIZA;03131;4;SUPLENTE;AMANDA MIRELQUIA DO VALE CONCEIÇÃO;PROS;49
230000002015;SÃO JOÃO DA BALIZA;03131;4;NÃO ELEITO;ANTONIO CARLOS SILVA;PTC;0
230000001543;IRACEMA;03026;6;SUPLENTE;LUIZ ALVES DA SILVA;PC do B;70
230000001536;IRACEMA;03026;6;SUPLENTE;RILDO VIANA DE OLIVEIRA;PEN;59
230000002487;AMAJARI;03042;7;ELEITO POR MÉDIA;JERÔNIMO CABRAL DE MACÊDO FILHO;DEM;155
230000001868;CANTÁ;03069;3;SUPLENTE;MARIA DE FATIMA DA SILVA DE ANDRADE;PHS;108
230000001324;CANTÁ;03069;3;NÃO ELEITO;MARIA DE FATIMA CHAGAS;PT do B;22
230000001373;RORAINÓPOLIS;03085;8;SUPLENTE;JOSE DOS SANTOS MORAES;PPS;78
